Batch_Number,Date,Drug_Name,MRP_Unit_Price,Qty_Sold,Total_Amount,Transaction_ID
GEN-10039,2023-01-10,Pan 40,155.0,3,465.0,TXN-10039
ALL-2301-79,2023-01-10,Allegra 120,198.0,3,594.0,TXN-10040
DOL-2301-95,2023-01-10,Dolo 650,30.0,8,240.0,TXN-10041
TEL-2301-80,2023-01-10,Telma 40,220.0,2,440.0,TXN-10042
AZI-2301-67,2023-01-10,Azithral 500,118.5,8,948.0,TXN-10043
ALL-2301-79,2023-01-10,Allegra 120,198.0,5,990.0,TXN-10044
ALL-2301-79,2023-01-11,Allegra 120,198.0,2,396.0,TXN-10045
ALL-2301-89,2023-01-11,Allegra 120,198.0,4,792.0,TXN-10046
GLY-2301-13,2023-01-11,Glycomet 500,22.5,2,45.0,TXN-10047
PAN-2301-58,2023-01-11,Pan 40,155.0,4,620.0,TXN-10048
PAN-2301-58,2023-01-11,Pan 40,155.0,3,465.0,TXN-10049
DOL-2301-50,2023-01-11,Dolo 650,30.0,5,150.0,TXN-10050
GEN-10051,2023-01-11,Dolo 650,30.0,8,240.0,TXN-10051
ALL-2301-89,2023-01-11,Allegra 120,198.0,5,990.0,TXN-10052
AZI-2301-61,2023-01-12,Azithral 500,118.5,6,711.0,TXN-10053
GLY-2301-13,2023-01-12,Glycomet 500,22.5,5,112.5,TXN-10054
PAN-2301-29,2023-01-12,Pan 40,155.0,1,155.0,TXN-10055
DOL-2301-95,2023-01-12,Dolo 650,30.0,7,210.0,TXN-10056
ALL-2301-79,2023-01-12,Allegra 120,198.0,4,792.0,TXN-10057
AZI-2301-67,2023-01-12,Azithral 500,118.5,9,1066.5,TXN-10058
ALL-2301-89,2023-01-12,Allegra 120,198.0,3,594.0,TXN-10059
ALL-2301-79,2023-01-12,Allegra 120,198.0,2,396.0,TXN-10060
AZI-2301-61,2023-01-12,Azithral 500,118.5,8,948.0,TXN-10061
ALL-2301-89,2023-01-12,Allegra 120,198.0,2,396.0,TXN-10062
GEN-10063,2023-01-12,Telma 40,220.0,3,660.0,TXN-10063
PAN-2301-58,2023-01-12,Pan 40,155.0,3,465.0,TXN-10064
PAN-2301-58,2023-01-12,Pan 40,155.0,5,775.0,TXN-10065
AZI-2301-67,2023-01-12,Azithral 500,118.5,7,829.5,TXN-10066
PAN-2301-58,2023-01-13,Pan 40,155.0,2,310.0,TXN-10067
DOL-2301-95,2023-01-13,Dolo 650,30.0,6,180.0,TXN-10068
DOL-2301-95,2023-01-13,Dolo 650,30.0,7,210.0,TXN-10069
GEN-10070,2023-01-13,Glycomet 500,22.5,2,45.0,TXN-10070
GLY-2301-13,2023-01-13,Glycomet 500,22.5,3,67.5,TXN-10071
ALL-2301-79,2023-01-13,Allegra 120,198.0,5,990.0,TXN-10072
PAN-2301-29,2023-01-13,Pan 40,155.0,3,465.0,TXN-10073
DOL-2301-95,2023-01-13,Dolo 650,30.0,9,270.0,TXN-10074
ALL-2301-89,2023-01-13,Allegra 120,198.0,4,792.0,TXN-10075
ALL-2301-79,2023-01-13,Allegra 120,198.0,5,990.0,TXN-10076
AZI-2301-61,2023-01-13,Azithral 500,118.5,6,711.0,TXN-10077
DOL-2301-50,2023-01-13,Dolo 650,30.0,8,240.0,TXN-10078
AZI-2301-67,2023-01-13,Azithral 500,118.5,4,474.0,TXN-10079
GEN-10080,2023-01-14,Dolo 650,30.0,8,240.0,TXN-10080
PAN-2301-29,2023-01-14,Pan 40,155.0,4,620.0,TXN-10081
TEL-2301-80,2023-01-14,Telma 40,220.0,5,1100.0,TXN-10082
TEL-2301-80,2023-01-14,Telma 40,220.0,1,220.0,TXN-10083
ALL-2301-79,2023-01-14,Allegra 120,198.0,5,990.0,TXN-10084
PAN-2301-58,2023-01-14,Pan 40,155.0,3,465.0,TXN-10085
PAN-2301-58,2023-01-14,Pan 40,155.0,4,620.0,TXN-10086
AZI-2301-67,2023-01-14,Azithral 500,118.5,7,829.5,TXN-10087
GLY-2301-55,2023-01-14,Glycomet-500,22.5,1,22.5,TXN-10088
TEL-2301-80,2023-01-14,Telma 40,,5,,TXN-10089
ALL-2301-89,2023-01-14,Allegra 120,198.0,1,198.0,TXN-10090
ALL-2301-79,2023-01-14,Allegra 120,198.0,3,594.0,TXN-10091
TEL-2301-73,2023-01-14,Telma 40,220.0,2,440.0,TXN-10092
GLY-2301-55,2023-01-14,Glycomet 500,22.5,3,67.5,TXN-10093
GLY-2301-13,2023-01-14,Glycomet 500,22.5,4,90.0,TXN-10094
TEL-2301-73,2023-01-15,Telma 40,220.0,3,660.0,TXN-10095
ALL-2301-89,2023-01-15,Allegra 120,198.0,1,198.0,TXN-10096
GEN-10097,2023-01-15,Pan 40,155.0,3,465.0,TXN-10097
GLY-2301-13,2023-01-15,Glycomet 500,22.5,1,22.5,TXN-10098
AZI-2301-61,2023-01-15,Azithral 500,118.5,9,1066.5,TXN-10099
DOL-2301-95,2023-01-15,Dolo 650,30.0,8,240.0,TXN-10100
ALL-2301-89,2023-01-15,Allegra 120,198.0,5,990.0,TXN-10101
ALL-2301-89,2023-01-15,Allegra 120,198.0,2,396.0,TXN-10102
ALL-2301-79,2023-01-15,Allegra 120,198.0,3,594.0,TXN-10103
DOL-2301-50,2023-01-15,Dolo 650,30.0,7,210.0,TXN-10104
AZI-2301-61,2023-01-15,Azithral 500,118.5,7,829.5,TXN-10105
TEL-2301-73,2023-01-16,Telma 40,220.0,4,880.0,TXN-10106
PAN-2301-29,2023-01-16,Pan 40,155.0,4,620.0,TXN-10107
PAN-2301-29,2023-01-16,Pan 40,155.0,3,465.0,TXN-10108
DOL-2301-50,2023-01-16,Dolo 650,30.0,7,210.0,TXN-10109
GLY-2301-55,2023-01-16,Glycomet 500,225.0,4,900.0,TXN-10110
GEN-10111,2023-01-16,Allegra 120,198.0,5,990.0,TXN-10111
TEL-2301-73,2023-01-16,Telma 40,220.0,2,440.0,TXN-10112
GLY-2301-55,2023-01-16,Glycomet 500,22.5,1,22.5,TXN-10113
TEL-2301-80,2023-01-16,Telma 40,220.0,4,880.0,TXN-10114
AZI-2301-67,2023-01-16,Azithral 500,118.5,7,829.5,TXN-10115
DOL-2301-95,2023-01-16,Dolo 650,30.0,7,210.0,TXN-10116
ALL-2301-79,2023-01-16,Allegra 120,198.0,3,594.0,TXN-10117
GLY-2301-13,2023-01-16,Glycomet 500,22.5,1,22.5,TXN-10118
PAN-2301-29,2023-01-17,Pan 40,155.0,4,620.0,TXN-10119
TEL-2301-73,2023-01-17,Telma 40,220.0,1,220.0,TXN-10120
TEL-2301-73,2023-01-17,Telma 40,220.0,1,220.0,TXN-10121
GLY-2301-55,2023-01-17,Glycomet 500,22.5,4,90.0,TXN-10122
TEL-2301-73,2023-01-17,Telma 40,220.0,5,1100.0,TXN-10123
GLY-2301-13,2023-01-17,Glycomet 500,22.5,4,90.0,TXN-10124
AZI-2301-67,2023-01-17,Azithral 500,118.5,7,829.5,TXN-10125
DOL-2301-95,2023-01-17,Dolo 650,30.0,7,210.0,TXN-10126
DOL-2301-50,2023-01-17,Dolo 650,30.0,6,180.0,TXN-10127
PAN-2301-29,2023-01-17,Pan 40,155.0,2,310.0,TXN-10128
AZI-2301-67,2023-01-18,Azithral 500,118.5,4,474.0,TXN-10129
TEL-2301-80,2023-01-18,Telma 40,220.0,5,1100.0,TXN-10130
GEN-10131,2023-01-18,Azithral 500,118.5,8,948.0,TXN-10131
DOL-2301-95,2023-01-18,Dolo 650,30.0,5,150.0,TXN-10132
GLY-2301-13,2023-01-18,Glycomet 500,22.5,1,22.5,TXN-10133
ALL-2301-79,2023-01-18,Allegra 120,198.0,2,396.0,TXN-10134
GLY-2301-55,2023-01-18,Glycomet 500,22.5,4,90.0,TXN-10135
TEL-2301-80,2023-01-18,Telma 40,220.0,2,440.0,TXN-10136
PAN-2301-29,2023-01-18,Pan 40,155.0,3,465.0,TXN-10137
ALL-2301-89,2023-01-18,Allegra 120,198.0,5,990.0,TXN-10138
ALL-2301-89,2023-01-18,Allegra 120,198.0,4,792.0,TXN-10139
ALL-2301-79,2023-01-18,Allegra 120,198.0,4,792.0,TXN-10140
DOL-2301-95,2023-01-19,Dolo 650,30.0,4,120.0,TXN-10141
GLY-2301-55,2023-01-19,Glycomet 500,22.5,3,67.5,TXN-10142
GEN-10143,2023-01-19,Telma 40,220.0,4,880.0,TXN-10143
AZI-2301-61,2023-01-19,Azithral 500,118.5,6,711.0,TXN-10144
DOL-2301-95,2023-01-19,Dolo 650,30.0,4,120.0,TXN-10145
TEL-2301-80,2023-01-19,Telma 40,220.0,1,220.0,TXN-10146
GLY-2301-55,2023-01-19,Glycomet 500,22.5,1,22.5,TXN-10147
GLY-2301-55,2023-01-19,Glycomet 500,22.5,2,45.0,TXN-10148
ALL-2301-89,2023-01-19,Allegra 120,198.0,5,990.0,TXN-10149
GLY-2301-13,2023-01-19,Glycomet 500,22.5,4,90.0,TXN-10150
GLY-2301-13,2023-01-19,Glycomet 500,22.5,3,67.5,TXN-10151
DOL-2301-95,2023-01-19,Dolo 650,30.0,10,300.0,TXN-10152
PAN-2301-29,2023-01-19,Pan 40,155.0,3,465.0,TXN-10153
DOL-2301-95,2023-01-19,Dolo 650,30.0,6,180.0,TXN-10154
DOL-2301-50,2023-01-20,Dolo 650,30.0,8,240.0,TXN-10155
PAN-2301-29,2023-01-20,Pan 40,155.0,1,155.0,TXN-10156
TEL-2301-80,2023-01-20,Telma 40,220.0,2,440.0,TXN-10157
PAN-2301-58,2023-01-20,Pan 40,155.0,1,155.0,TXN-10158
TEL-2301-80,2023-01-20,Telma 40,220.0,3,660.0,TXN-10159
ALL-2301-89,2023-01-20,Allegra 120,198.0,5,990.0,TXN-10160
PAN-2301-58,2023-01-20,Pan 40,155.0,1,155.0,TXN-10161
DOL-2301-95,2023-01-20,Dolo 650,30.0,7,210.0,TXN-10162
TEL-2301-73,2023-01-20,Telma 40,220.0,5,1100.0,TXN-10163
TEL-2301-73,2023-01-20,Telma 40,220.0,2,440.0,TXN-10164
GLY-2301-55,2023-01-21,Glycomet 500,22.5,5,112.5,TXN-10165
GLY-2301-55,2023-01-21,Glycomet 500,22.5,1,22.5,TXN-10166
AZI-2301-61,2023-01-21,Azithral 500,118.5,7,829.5,TXN-10167
GEN-10168,2023-01-21,Azithral 500,118.5,8,948.0,TXN-10168
ALL-2301-79,2023-01-21,Allegra 120,198.0,1,198.0,TXN-10169
TEL-2301-73,2023-01-22,Telma 40,220.0,3,660.0,TXN-10170
GLY-2301-55,2023-01-22,Glycomet 500,22.5,5,112.5,TXN-10171
DOL-2301-95,2023-01-22,Dolo 650,30.0,5,150.0,TXN-10172
PAN-2301-29,2023-01-22,Pan 40,155.0,5,775.0,TXN-10173
GLY-2301-55,2023-01-22,Glycomet 500,22.5,5,112.5,TXN-10174
GLY-2301-55,2023-01-22,Glycomet 500,22.5,3,67.5,TXN-10175
GLY-2301-55,2023-01-22,Glycomet-500,22.5,1,22.5,TXN-10176
AZI-2301-61,2023-01-22,Azithral 500,118.5,6,711.0,TXN-10177
TEL-2301-73,2023-01-22,Telma 40,220.0,2,440.0,TXN-10178
TEL-2301-73,2023-01-22,Telma 40,220.0,2,440.0,TXN-10179
ALL-2301-79,2023-01-22,Allegra 120,198.0,1,198.0,TXN-10180
GLY-2301-13,2023-01-22,Glycomet 500,22.5,4,90.0,TXN-10181
ALL-2301-79,2023-01-22,Allegra 120,198.0,5,990.0,TXN-10182
AZI-2301-67,2023-01-22,Azithral 500,118.5,7,829.5,TXN-10183
GEN-10184,2023-01-22,Dolo 650,30.0,3,90.0,TXN-10184
GLY-2301-55,2023-01-23,Glycomet 500,22.5,3,67.5,TXN-10185
DOL-2301-50,2023-01-23,Dolo 650,30.0,8,240.0,TXN-10186
AZI-2301-67,2023-01-23,Azithral 500,118.5,6,711.0,TXN-10187
AZI-2301-67,2023-01-23,Azithral 500,118.5,5,592.5,TXN-10188
PAN-2301-58,2023-01-23,Pan 40,155.0,2,310.0,TXN-10189
DOL-2301-95,2023-01-23,Dolo 650,30.0,7,210.0,TXN-10190
AZI-2301-67,2023-01-23,Azithral 500,118.5,7,829.5,TXN-10191
TEL-2301-80,2023-01-24,Telma 40,220.0,5,1100.0,TXN-10192
GLY-2301-55,2023-01-24,Glycomet 500,22.5,2,45.0,TXN-10193
PAN-2301-58,2023-01-24,Pan 40,155.0,4,620.0,TXN-10194
PAN-2301-29,2023-01-24,Pan 40,155.0,3,465.0,TXN-10195
AZI-2301-61,2023-01-24,Azithral 500,118.5,8,948.0,TXN-10196
AZI-2301-67,2023-01-24,Azithral 500,118.5,4,474.0,TXN-10197
AZI-2301-67,2023-01-24,Azithral 500,118.5,5,592.5,TXN-10198
ALL-2301-89,2023-01-24,Allegra 120,198.0,3,594.0,TXN-10199
AZI-2301-61,2023-01-24,Azithral 500,118.5,6,711.0,TXN-10200
DOL-2301-50,2023-01-24,Dolo 650,30.0,9,270.0,TXN-10201
GLY-2301-55,2023-01-24,Glycomet 500,22.5,1,22.5,TXN-10202
DOL-2301-50,2023-01-24,Dolo 650,30.0,7,210.0,TXN-10203
PAN-2301-58,2023-01-25,Pan 40,155.0,3,465.0,TXN-10204
PAN-2301-29,2023-01-25,Pan 40,155.0,1,155.0,TXN-10205
AZI-2301-61,2023-01-25,Azithral 500,118.5,5,592.5,TXN-10206
TEL-2301-73,2023-01-25,Telma 40,220.0,1,220.0,TXN-10207
PAN-2301-29,2023-01-25,Pan 40,155.0,1,155.0,TXN-10208
AZI-2301-67,2023-01-26,Azithral 500,118.5,6,711.0,TXN-10209
PAN-2301-58,2023-01-26,Pan 40,155.0,3,465.0,TXN-10210
GEN-10211,2023-01-26,Dolo 650,30.0,7,210.0,TXN-10211
GLY-2301-13,2023-01-26,Glycomet 500,22.5,5,112.5,TXN-10212
ALL-2301-89,2023-01-26,Allegra 120,198.0,3,594.0,TXN-10213
ALL-2301-89,2023-01-26,Allegra 120,198.0,1,198.0,TXN-10214
ALL-2301-89,2023-01-26,Allegra 120,198.0,1,198.0,TXN-10215
AZI-2301-67,2023-01-26,Azithral 500,118.5,6,711.0,TXN-10216
ALL-2301-89,2023-01-26,Allegra 120,198.0,3,594.0,TXN-10217
PAN-2301-29,2023-01-26,Pan 40,155.0,4,620.0,TXN-10218
ALL-2301-89,2023-01-26,Allegra 120,198.0,4,792.0,TXN-10219
TEL-2301-80,2023-01-26,Telma 40,220.0,5,1100.0,TXN-10220
ALL-2301-79,2023-01-26,Allegra 120,198.0,2,396.0,TXN-10221
GLY-2301-55,2023-01-26,Glycomet 500,22.5,2,45.0,TXN-10222
AZI-2301-67,2023-01-26,Azithral 500,118.5,5,592.5,TXN-10223
ALL-2301-79,2023-01-27,Allegra 120,198.0,4,792.0,TXN-10224
PAN-2301-29,2023-01-27,Pan 40,155.0,2,310.0,TXN-10225
GEN-10226,2023-01-27,Glycomet 500,,5,,TXN-10226
TEL-2301-80,2023-01-27,Telma 40,220.0,2,440.0,TXN-10227
TEL-2301-73,2023-01-27,Telma 40,220.0,1,220.0,TXN-10228
PAN-2301-29,2023-01-27,Pan 40,155.0,5,775.0,TXN-10229
DOL-2301-50,2023-01-27,Dolo 650,30.0,7,210.0,TXN-10230
AZI-2301-67,2023-01-27,Azithral 500,118.5,7,829.5,TXN-10231
AZI-2301-61,2023-01-28,Azithral 500,118.5,5,592.5,TXN-10232
DOL-2301-95,2023-01-28,Dolo 650,30.0,7,210.0,TXN-10233
GLY-2301-13,2023-01-28,Glycomet 500,22.5,2,45.0,TXN-10234
DOL-2301-50,2023-01-28,Dolo 650,30.0,8,240.0,TXN-10235
GLY-2301-13,2023-01-28,Glycomet 500,22.5,1,22.5,TXN-10236
PAN-2301-58,2023-01-28,Pan 40,155.0,2,310.0,TXN-10237
DOL-2301-50,2023-01-28,Dolo 650,30.0,9,270.0,TXN-10238
GLY-2301-13,2023-01-28,Glycomet 500,22.5,1,22.5,TXN-10239
PAN-2301-29,2023-01-28,Pan 40,155.0,3,465.0,TXN-10240
ALL-2301-79,2023-01-28,Allegra 120,1980.0,2,3960.0,TXN-10241
ALL-2301-89,2023-01-28,Allegra 120,198.0,2,396.0,TXN-10242
GEN-10243,2023-01-28,Azithral 500,118.5,6,711.0,TXN-10243
GLY-2301-55,2023-01-28,Glycomet 500,22.5,3,67.5,TXN-10244
GLY-2301-55,2023-01-28,Glycomet 500,22.5,3,67.5,TXN-10245
GEN-10246,2023-01-29,Dolo 650,30.0,3,90.0,TXN-10246
GLY-2301-55,2023-01-29,Glycomet 500,22.5,5,112.5,TXN-10247
TEL-2301-51,2023-01-29,Telma 40,220.0,2,440.0,TXN-10248
DOL-2301-50,2023-01-29,Dolo 650,30.0,4,120.0,TXN-10249
AZI-2301-61,2023-01-29,Azithral 500,118.5,6,711.0,TXN-10250
DOL-2301-86,2023-01-29,Dolo 650,30.0,7,210.0,TXN-10251
AZI-2301-61,2023-01-29,Azithral 500,118.5,9,1066.5,TXN-10252
GLY-2301-17,2023-01-29,Glycomet 500,22.5,3,67.5,TXN-10253
GLY-2301-13,2023-01-30,Glycomet 500,22.5,2,45.0,TXN-10254
GLY-2301-17,2023-01-30,Glycomet 500,22.5,1,22.5,TXN-10255
GLY-2301-13,2023-01-30,Glycomet 500,22.5,5,112.5,TXN-10256
GLY-2301-17,2023-01-30,Glycomet 500,22.5,5,112.5,TXN-10257
PAN-2301-18,2023-01-30,Pan 40,155.0,3,465.0,TXN-10258
GLY-2301-17,2023-01-30,Glycomet 500,22.5,1,22.5,TXN-10259
ALL-2301-79,2023-01-30,Allegra 120,198.0,3,594.0,TXN-10260
DOL-2301-50,2023-01-30,Dolo 650,30.0,9,270.0,TXN-10261
AZI-2301-67,2023-01-30,Azithral 500,118.5,6,711.0,TXN-10262
ALL-2301-89,2023-01-30,Allegra 120,198.0,1,198.0,TXN-10263
PAN-2301-58,2023-01-30,Pan 40,155.0,4,620.0,TXN-10264
TEL-2301-73,2023-01-30,Telma 40,220.0,2,440.0,TXN-10265
AZI-2301-28,2023-01-30,Azithral 500,118.5,4,474.0,TXN-10266
ALL-2301-89,2023-01-30,Allegra 120,198.0,2,396.0,TXN-10267
PAN-2301-18,2023-01-31,Pan 40,155.0,2,310.0,TXN-10268
DOL-2301-86,2023-01-31,Dolo 650,30.0,8,240.0,TXN-10269
GLY-2301-13,2023-01-31,Glycomet 500,22.5,2,45.0,TXN-10270
AZI-2301-28,2023-01-31,Azithral 500,118.5,4,474.0,TXN-10271
GLY-2301-55,2023-01-31,Glycomet 500,22.5,1,22.5,TXN-10272
AZI-2301-28,2023-01-31,Azithral 500,118.5,6,711.0,TXN-10273
TEL-2301-51,2023-02-01,Telma 40,220.0,4,880.0,TXN-10274
GLY-2301-13,2023-02-01,Glycomet 500,22.5,4,90.0,TXN-10275
PAN-2301-29,2023-02-01,Pan 40,155.0,2,310.0,TXN-10276
GEN-10277,2023-02-01,Pan 40,155.0,1,155.0,TXN-10277
GLY-2301-55,2023-02-01,Glycomet 500,22.5,5,112.5,TXN-10278
PAN-2301-29,2023-02-01,Pan 40,155.0,1,155.0,TXN-10279
TEL-2301-51,2023-02-01,Telma 40,220.0,4,880.0,TXN-10280
GLY-2301-17,2023-02-01,Glycomet 500,22.5,1,22.5,TXN-10281
PAN-2301-58,2023-02-01,Pan 40,155.0,4,620.0,TXN-10282
TEL-2301-80,2023-02-01,Telma 40,220.0,2,440.0,TXN-10283
GLY-2301-55,2023-02-01,Glycomet 500,22.5,1,22.5,TXN-10284
TEL-2301-73,2023-02-01,Telma 40,220.0,4,880.0,TXN-10285
GLY-2301-17,2023-02-02,Glycomet 500,22.5,5,112.5,TXN-10286
TEL-2301-73,2023-02-02,Telma 40,220.0,4,880.0,TXN-10287
AZI-2301-61,2023-02-02,Azithral 500,118.5,7,829.5,TXN-10288
AZI-2301-67,2023-02-02,Azithral 500,118.5,8,948.0,TXN-10289
AZI-2301-67,2023-02-02,Azithral 500,118.5,7,829.5,TXN-10290
AZI-2301-61,2023-02-02,Azithral 500,118.5,5,592.5,TXN-10291
ALL-2301-79,2023-02-02,Allegra 120,198.0,2,396.0,TXN-10292
TEL-2301-80,2023-02-02,Telma 40,220.0,2,440.0,TXN-10293
TEL-2301-73,2023-02-02,Telma 40,220.0,1,220.0,TXN-10294
ALL-2301-89,2023-02-03,Allegra 120,198.0,3,594.0,TXN-10295
GEN-10296,2023-02-03,Dolo 650,30.0,5,150.0,TXN-10296
AZI-2301-67,2023-02-03,Azithral 500,118.5,8,948.0,TXN-10297
AZI-2301-61,2023-02-03,Azithral 500,118.5,7,829.5,TXN-10298
DOL-2301-86,2023-02-03,Dolo 650,30.0,2,60.0,TXN-10299
PAN-2301-18,2023-02-03,Pan 40,155.0,2,310.0,TXN-10300
DOL-2301-95,2023-02-03,Dolo 650,30.0,4,120.0,TXN-10301
DOL-2301-86,2023-02-03,Dolo 650,30.0,3,90.0,TXN-10302
DOL-2301-95,2023-02-03,Dolo 650,30.0,3,90.0,TXN-10303
DOL-2301-86,2023-02-04,Dolo 650,30.0,5,150.0,TXN-10304
AZI-2301-67,2023-02-04,Azithral 500,118.5,7,829.5,TXN-10305
GEN-10306,2023-02-04,Pan 40,155.0,3,465.0,TXN-10306
TEL-2301-51,2023-02-04,Telma 40,220.0,4,880.0,TXN-10307
ALL-2301-79,2023-02-04,Allegra 120,198.0,2,396.0,TXN-10308
ALL-2301-41,2023-02-04,Allegra 120,198.0,4,792.0,TXN-10309
TEL-2301-51,2023-02-04,Telma 40,220.0,5,1100.0,TXN-10310
TEL-2301-80,2023-02-04,Telma 40,220.0,2,440.0,TXN-10311
DOL-2301-50,2023-02-04,Dolo 650,30.0,4,120.0,TXN-10312
PAN-2301-29,2023-02-04,Pan 40,155.0,2,310.0,TXN-10313
AZI-2301-67,2023-02-04,Azithral 500,118.5,5,592.5,TXN-10314
ALL-2301-41,2023-02-04,Allegra 120,198.0,2,396.0,TXN-10315
DOL-2301-86,2023-02-04,Dolo 650,30.0,5,150.0,TXN-10316
GLY-2301-55,2023-02-04,Glycomet 500,22.5,1,22.5,TXN-10317
PAN-2301-18,2023-02-04,Pan 40,155.0,5,775.0,TXN-10318
TEL-2301-51,2023-02-05,Telma 40,220.0,2,440.0,TXN-10319
ALL-2301-41,2023-02-05,Allegra 120,198.0,5,990.0,TXN-10320
GEN-10321,2023-02-05,Pan 40,155.0,2,310.0,TXN-10321
ALL-2301-41,2023-02-05,Allegra 120,198.0,2,396.0,TXN-10322
ALL-2301-41,2023-02-05,Allegra 120,198.0,5,990.0,TXN-10323
GEN-10324,2023-02-05,Glycomet 500,22.5,3,67.5,TXN-10324
GEN-10325,2023-02-05,Telma 40,220.0,5,1100.0,TXN-10325
PAN-2301-29,2023-02-06,Pan 40,155.0,5,775.0,TXN-10326
PAN-2301-58,2023-02-06,Pan 40,155.0,5,775.0,TXN-10327
TEL-2301-51,2023-02-06,Telma 40,220.0,1,220.0,TXN-10328
GEN-10329,2023-02-06,Pan 40,155.0,5,775.0,TXN-10329
ALL-2301-41,2023-02-06,Allegra 120,198.0,5,990.0,TXN-10330
GLY-2301-13,2023-02-06,Glycomet 500,22.5,3,67.5,TXN-10331
GEN-10332,2023-02-07,Pan 40,155.0,1,155.0,TXN-10332
GLY-2301-13,2023-02-07,Glycomet 500,22.5,4,90.0,TXN-10333
PAN-2301-18,2023-02-07,Pan 40,155.0,4,620.0,TXN-10334
PAN-2301-58,2023-02-07,Pan 40,155.0,1,155.0,TXN-10335
PAN-2301-29,2023-02-07,Pan 40,155.0,2,310.0,TXN-10336
ALL-2301-41,2023-02-07,Allegra 120,198.0,1,198.0,TXN-10337
AZI-2301-67,2023-02-07,Azithral 500,118.5,6,711.0,TXN-10338
GEN-10339,2023-02-07,Allegra 120,198.0,3,594.0,TXN-10339
ALL-2301-89,2023-02-07,Allegra 120,198.0,3,594.0,TXN-10340
TEL-2301-73,2023-02-07,Telma 40,220.0,2,440.0,TXN-10341
TEL-2301-51,2023-02-07,Telma 40,220.0,4,880.0,TXN-10342
DOL-2301-95,2023-02-07,Dolo 650,30.0,1,30.0,TXN-10343
GEN-10344,2023-02-07,Dolo 650,30.0,1,30.0,TXN-10344
GLY-2301-55,2023-02-08,Glycomet 500,22.5,1,22.5,TXN-10345
GLY-2301-17,2023-02-08,Glycomet 500,22.5,2,45.0,TXN-10346
PAN-2301-58,2023-02-08,Pan 40,155.0,5,775.0,TXN-10347
ALL-2301-79,2023-02-08,Allegra 120,198.0,4,792.0,TXN-10348
DOL-2301-86,2023-02-08,Dolo 650,30.0,2,60.0,TXN-10349
